r_joint_0,r_joint_1,r_joint_2,r_joint_3,r_joint_4,r_joint_5,r_joint_6,l_joint_0,l_joint_1,l_joint_2,l_joint_3,l_joint_4,l_joint_5,l_joint_6,tray_x,tray_y,tray_z,tray_qx,tray_qy,tray_qz,tray_qw
-1.460589051246643,0.06424101442098618,-0.1754216104745865,1.0378289222717285,0.5041025876998901,0.20256157219409943,0.06397386640310287,-1.0812402963638306,0.7842507362365723,0.4143095910549164,0.9489138126373291,0.14029160141944885,-0.23335027694702148,-0.7119223475456238,0.5199230909347534,0.19317755103111267,1.9385849237442017,0.9908714890480042,0.02587980031967163,-0.10413666069507599,0.08160647004842758
-0.6910383701324463,-0.15950080752372742,-0.042579952627420425,1.9451106786727905,-0.9380173683166504,-1.4088367223739624,0.11650455743074417,-0.22295621037483215,0.14752434194087982,1.189380407333374,1.9449031352996826,0.19890882074832916,-1.4718244075775146,-0.07330530881881714,0.31421443819999695,0.08972889930009842,1.5665669441223145,0.9785547852516174,-0.08122889697551727,0.018414095044136047,0.188396617770195
-0.0663081482052803,-0.005343335215002298,0.6675138473510742,0.8611273169517517,0.3994624614715576,-0.9004071354866028,0.4308570921421051,-0.12965430319309235,0.18877418339252472,0.7473112344741821,0.4798024594783783,1.1099228858947754,-0.45108622312545776,-0.36877623200416565,0.3402160704135895,0.10925247520208359,1.5635415315628052,0.9851855635643005,0.10397268086671829,0.1343829482793808,-0.02324565313756466
-1.423812747001648,-0.611609697341919,0.2722358703613281,1.3919957876205444,0.637956440448761,-0.08012623339891434,-0.3530259132385254,-1.82572340965271,0.3866384029388428,0.7719390392303467,1.951901912689209,1.6856863498687744,-0.18408629298210144,0.4792110025882721,0.5536217093467712,-0.0795731469988823,1.965527057647705,0.986326277256012,0.055280901491642,-0.1541367471218109,-0.01860954612493515
-1.4152371883392334,-0.27297335863113403,0.31421175599098206,1.5605946779251099,-0.4508766233921051,0.18492372334003448,0.15363572537899017,-1.1355035305023193,-0.13357320427894592,0.4830608665943146,2.1006927490234375,-1.676660418510437,-0.6927409768104553,0.3874448835849762,0.4670887887477875,-0.04366661235690117,1.6160365343093872,0.871522843837738,-0.3767894208431244,0.28072553873062134,0.14025253057479858
-0.49991074204444885,-0.25289469957351685,-0.18381880223751068,0.9571810364723206,-0.2045183777809143,-0.871057391166687,0.0350787378847599,-0.7484307289123535,0.2839122414588928,-0.701673150062561,1.1704546213150024,-1.1280573606491089,-0.13329385221004486,-0.4620756506919861,0.47469931840896606,-0.042734429240226746,1.662675380706787,0.9982042908668518,-0.03964049369096756,-0.001652969396673143,-0.04488068073987961
-0.4689842760562897,-0.0798485204577446,-0.6866796612739563,1.2954952716827393,-0.08553923666477203,-0.005923082120716572,0.5190825462341309,-0.8943191170692444,-0.008071544580161572,0.1872023195028305,1.1048436164855957,0.8405373096466064,0.06416716426610947,0.47960489988327026,0.43081459403038025,-0.05634290724992752,1.5311410427093506,0.924294650554657,0.25240981578826904,0.26519590616226196,-0.10788773745298386
-0.09778857231140137,0.0002933792711701244,0.5597959756851196,0.4292503595352173,-0.01545448787510395,-0.5087608695030212,-0.5585349202156067,-0.40184301137924194,0.7500105500221252,-0.061551645398139954,0.4252595007419586,-0.9031931757926941,-0.06455621868371964,-0.36087459325790405,0.4035245478153229,0.07481831312179565,1.7186298370361328,0.9794130921363831,0.13715581595897675,-0.07586220651865005,-0.12721385061740875
-1.0322318077087402,-0.42451754212379456,0.9490287899971008,1.4663242101669312,0.41616567969322205,-0.12505044043064117,0.4450896084308624,-1.075822353363037,0.018014725297689438,0.569021463394165,1.1383177042007446,0.5790325403213501,0.48444703221321106,1.160774827003479,0.5036680698394775,-0.036185186356306076,1.617355227470398,0.9551988840103149,0.02645687572658062,0.29448646306991577,0.013154318556189537
-0.4560682773590088,-0.4403194189071655,0.8038337826728821,1.0522501468658447,1.3710869550704956,-1.2205528020858765,-0.7364969849586487,-0.48191407322883606,-0.120576873421669,0.5424419641494751,0.8906719088554382,0.8574118614196777,-0.7005383968353271,-0.65583735704422,0.4321746826171875,-0.07352142035961151,1.6672223806381226,0.9950758218765259,0.01347015704959631,-0.07266250997781754,-0.06605174392461777
-0.5067625641822815,-0.4327583611011505,-0.2400234341621399,0.6072682738304138,-0.6199893951416016,-0.6567337512969971,0.917007327079773,-0.48969128727912903,-0.11890602856874466,0.1969730257987976,0.6512718200683594,-1.0112248659133911,-0.05220493674278259,1.0496312379837036,0.46098315715789795,-0.0722184106707573,1.6404963731765747,0.9784021973609924,-0.12270907312631607,0.1659334897994995,0.011740720830857754
-0.7692173719406128,-0.03288706764578819,0.5227723717689514,1.6636430025100708,-0.43709540367126465,-1.1910839080810547,0.031885776668787,-0.6541335582733154,0.38662847876548767,0.38430771231651306,1.9306153059005737,0.1628827303647995,-1.573713779449463,0.1259736716747284,0.40822726488113403,0.1011989489197731,1.68410325050354,0.9871709942817688,0.006967745255678892,-0.13981440663337708,0.07679125666618347
-1.5450949668884277,-0.22067886590957642,-0.4037822186946869,1.5721393823623657,-0.6563013195991516,0.16487620770931244,-0.07345636188983917,-0.6621217727661133,-0.014702287502586842,0.33875542879104614,1.0147961378097534,-1.2651724815368652,-0.5598784685134888,0.18361064791679382,0.5226729512214661,0.05518423765897751,1.722874641418457,0.9418119192123413,-0.3079583942890167,0.052534639835357666,0.12406536936759949
-0.4820241630077362,0.1382027119398117,-1.3583143949508667,1.635953664779663,-1.043880581855774,-1.418300986289978,0.15015776455402374,-1.022058129310608,0.3041692078113556,-0.694012463092804,1.5286877155303955,-1.0729138851165771,-0.7287209630012512,-0.4051016867160797,0.4273979663848877,-0.0382574088871479,1.6833853721618652,0.9537448883056641,0.1658206433057785,-0.10178644955158234,-0.2291586548089981
-0.6475270390510559,0.14842982590198517,0.10301461815834045,0.7619460821151733,0.13138291239738464,0.32831892371177673,-0.5263156890869141,-0.42805296182632446,0.3979143798351288,0.6033713817596436,0.6381290555000305,-0.7421035170555115,-0.23667041957378387,-0.48005911707878113,0.45328953862190247,0.16681617498397827,1.6842727661132812,0.9972217679023743,0.026861215010285378,0.027477720752358437,0.06381422281265259
-1.0365082025527954,-0.03876716271042824,0.39192596077919006,1.2267855405807495,1.3413335084915161,-0.10993543267250061,-0.25130078196525574,-1.4633891582489014,0.5310311317443848,-0.3458687663078308,0.7754536867141724,1.2117780447006226,0.5983375906944275,-0.9223523736000061,0.5213824510574341,0.10531389713287354,1.7969690561294556,0.8967081308364868,0.38802146911621094,0.20023426413536072,0.07252685725688934
0.1319991946220398,-0.11679474264383316,-0.007957855239510536,0.9532933831214905,0.3249777853488922,-1.1375652551651,-0.48326927423477173,-0.22384437918663025,0.07104381918907166,-0.30529382824897766,0.9724209308624268,-0.32108423113822937,-1.478981375694275,-0.08817777782678604,0.30111443996429443,-0.09297100454568863,1.6652612686157227,0.9658849835395813,0.04333779960870743,-0.2026883363723755,-0.15525999665260315
-1.2616575956344604,-0.3410010039806366,-0.8882019519805908,1.4401334524154663,-1.550964593887329,-0.21619665622711182,-0.11995239555835724,-1.0844422578811646,0.0826210230588913,-0.22562822699546814,1.7229620218276978,-0.8618014454841614,-0.3195619285106659,0.377154678106308,0.5349001288414001,-0.024019751697778702,1.6955246925354004,0.9770322442054749,-0.17197565734386444,0.11629003286361694,0.048053231090307236
-0.6879931092262268,-0.4100983738899231,0.8782269358634949,1.9684542417526245,1.0907124280929565,-1.141903281211853,0.6851238012313843,-1.2493330240249634,-0.12073269486427307,1.1065659523010254,1.8398367166519165,0.929490327835083,-0.31913554668426514,1.0292174816131592,0.4487830102443695,-0.18772204220294952,1.648910403251648,0.9832350015640259,0.09762313961982727,0.1041017472743988,-0.11349624395370483
-0.15372978150844574,-0.2533683776855469,0.8042934536933899,1.2830936908721924,0.3588239848613739,-1.0616412162780762,-0.5185316205024719,0.16371656954288483,-0.08298742771148682,1.1537212133407593,1.498997688293457,0.6787109375,-1.5193754434585571,-0.5859141945838928,0.23758693039417267,0.054228801280260086,1.5242571830749512,0.9830213785171509,-0.028917714953422546,0.06871090829372406,0.16766488552093506
-0.9095644950866699,-0.2730366885662079,-0.24604633450508118,1.298288345336914,-0.659868061542511,-0.6716020703315735,0.01873200014233589,-0.7354299426078796,0.073214091360569,-0.8577370643615723,1.6947498321533203,-1.2946650981903076,-1.3499125242233276,-0.8786696791648865,0.47596174478530884,0.034094151109457016,1.7273437976837158,0.9821135401725769,-0.09303513169288635,-0.12623439729213715,0.1042226254940033
